,name,latitude,longitude,adress,photo_id,photo_width
1676,"ГБУ ""Жилищник района Старое Крюково""",55.979322,37.1775271,"корп. 837, Зеленоград, Москва, Россия, 124527",,
1677,Отдел МВД России по районам Силино и Старое Крюково г. Москвы,55.9731337,37.2024444,"микрорайон 8-й, корпус 860, Зеленоград, Москва, Россия, 124527",,
1678,Мировые Судьи Района Старое Крюково,55.9744833,37.19834350000001,"Москва, Зеленоград, 8-й м/р-н, корп. 856, Москва, Россия, 124527",,
1679,Баскетбольное площадка,55.9421905,37.2922788,"Химки, Московская обл., Россия, 141420",,
1680,Баскетбольная площадка,55.8758117,37.6470821,"пр. Шокальского, 12 строение 4, Москва, Moscow Oblast, Россия, 127642",Aap_uECmfTgAtvI2UHdpTyLyUIn4TLXWnHDFxYL8Sy7IxfpvRSCoXsWpSubACyN9dsP63jDN-sQfCdYFUT-HUGNe7SktgLTg9k29mIb5eM9X_-wMputm-e7sMPZKWbGCmFUrxlQezkUi-vsVP9o5-IvpBnGsfyZ4lDp3jY3PK-tQkO4pLjV3,1920.0
1681,Баскетбольная площадка,55.8185041,37.6497913,"Москва, Россия, 129366",,
1682,баскетбольная площадка на территории учебного заведения,55.8069976,37.6428359,"Москва, Россия, 129626",,
1683,Баскетбольная площадка,55.8058083,37.6434521,"Москва, Россия, 129626",,
1684,"ООО ""ПСТ""",55.864237,37.65150209999999,"ул. Искры, 31, Москва, Россия, 129327",,
1685,Баскетбольная площадка,55.8454705,37.5485912,"с, пр-д Черепановых, 64с1, Москва, Россия, 125183",,
1686,Баскетбольная Площадка,55.79815319999999,37.569351,"Петровско-Разумовский пр-д, 16 строение 2, Москва, Московская обл., Россия, 127287",Aap_uEB9nlr1JPlbkjGNfk6VEs9M8LSwcga925lkci7Y-KXnCLW4UWaX1Cxk7758jTAdAA4rng12wEkaNCGsIs02WUWitqUKtCx3DRo7sS9iQXostGRGapV-Yythm3tMYEtv_XPV2tMoXV_d8eoUfNrpWufpNbAYeSAPFpXmOlpY-f0cDtjM,3008.0
1687,Баскетбольная площадка,55.9148313,37.7995803,"Королёв, Московская обл., Россия, 141070",,
1688,Баскетбольная площадка,55.77446399999999,37.639961,"Большая Спасская ул., 15, Москва, Россия, 129090",,
