,name,latitude,longitude,adress,photo_id,photo_width
40,баскетбольная площадка,55.76125390000001,37.64833040000001,"москва, россия, 101000",Aap_uECqyRPieU1pDJVmoH-Ro-QFFwUuGpfaGyX5PYpJM-kRqD_BFSRz7AMj199qveOtd_-oaM2TucrmvM93SUmYZOziH90_r3dwqzesmiivgUe-S9v8YomDa8ZlykYfiQ1Z7A8RI2m0Rc5fXhvMff_bt8zRz-pGjMw7JqqIR1QGaTP5p-j4,4032
41,спортивная площадка (футбол/хоккей/баскетбол/качалка),55.7356892,37.6504821,"краснохолмская наб., 1/15, москва, россия, 115172",Aap_uEBX6uvCzk8mwUqw00KXziXdgzYENj0IVbkUGz6J1jH7AFu4CMzhuA9I9E1Iq2AtDL3L5RqcPn2wOiSSPphnHwIaRa08sX0wPvpBfxlsA0n636whKHREE7MtuNdk5bMos3qtJMUkGV6_tqJfxW_M9eUGD_VoqKVtVD9l-pDjOmpCVEwa,4608
42,баскетбольная площадка,55.9408859,37.4946739,"спортивная ул., долгопрудный, московская обл., россия, 141707",0,0
43,"площадка для игры в баскетбол, катания на коньках",55.883318,37.4903339,"ул. маршала федоренко, 14к4, москва, россия, 125599",Aap_uEAauuFRVMnf3n9oay6hYLXqaffPfiqoxoTf5uO_-9nzIn_Y7ogsDZsb5Lc5NRUE99t4bzIVTIm99D3yRaoDTMnCHgEf3tcSQO3RVt8Dpuhg5IQYu9dClQq3TUNfw_9yCEe5X4jASW8XhmylxYxCgDoGZY76ldFYYCbB5IqCVGmj0Pf0,4000
44,площадка баскетбольная,55.89820270000001,37.4744492,"химки, московская обл., россия, 141406",0,0
45,спортивные площадки,55.9619358,37.5930121,"центральная ул., 25, афанасово, московская обл., россия, 141044",0,0
46,территория мяча,55.7187752,37.6884088,"шарикоподшипниковская ул., 13с24, москва, россия, 115088",Aap_uECG9T2h2s-NkGNrXEwkWSXBE2OOC0p1J2VVpZVgY_Qc5tIATaVWGP4IYsZBAxTJYZ3F41OFs45uSSp8JW8OAPLFqaiMIEJ7WVrTqOqtVyC00VWf1RjnucAX19X4FDzbUKE73tqDp6Cz9wq6f4LDwZ-bpTh-Mblf8vatz_jSA06ni9A-,2048
47,футбольная / баскетбольная площадка,55.7447606,37.76786,"ул. плеханова, 23 корпус 2, москва, россия, 111398",Aap_uECorowYaGqpRqFDEStKo0f0abOqKOtCALelANRR_iUqz0vFBK0dMkpavnzPA-NR-GJH9cr45dfClKSmuaP9Pn08tkygYjkbVdhTnIvuLkCnfz_3n9lYYBpTcoOOQe2ugVtJwiU6hK42OAF0eGz3HtIvTA0SrTHyLpLBBanyaBkOmEzC,1280
48,коньково -баскетбольная площадка,55.7171596,37.808682,"ул. хлобыстова, 16 корпус 2, москва, россия, 109542",Aap_uEAEU3PpC8tdT-xguR6z_7SG_Ukkb4f5pIUpL-0YhDMlbFS8NiF1Bpe7WHYvzE8SBc3LozevP2CvcJ8DwnhsgLVhA6tsb2wmtgpRErSM-pZRnttE8KQ16kdOIKUaQW51vcmP6rVWMrdcm5STfciAxbxMYxrScL5ZWpCLRDN_CU89_5By,5504
49,баскетбольная площадка,55.7459283,37.7775849,"перовская ул., 34 строение 2, москва, россия, 111141",Aap_uEBHG0x-0CJAlirlKJByAWMawr7zHgLRqxvF6CTPAYWD0G8DdhQg3eiJ5Z189L-0DDyjKIc-HzAUyTM2XAm28kP_ZTRrOgEo5oeIq69usWxe4Zv7pPEbHyVICLczCutX6O1DmHdFluKjeOXje3-38TA0eepvDwlqUsDW-zsicmc4rFFZ,4032
50,спортивная площадка,55.7710403,37.864102,"unnamed road, реутов, московская обл., россия, 143960",0,0
51,баскетбольная площадка,55.7181028,37.8841411,"ул. медведева, 6а, москва, россия, 111675",0,0
52,баскетбольная площадка,55.536114,37.518096,"южнобутовская ул., 76к1, москва, россия, 117042",0,0
53,баскетбольная площадка,55.530088,37.517623,"чечерский пр., 100, москва, россия, 117042",0,0
54,баскетбольная площадка,55.5411911,37.5028795,"академика семёнова ул., 21, москва, россия, 117041",0,0
55,баскетбольная площадка,55.53445,37.514258,"южнобутовская ул., 84к2, москва, россия, 117042",0,0
56,баскетбольная площадка,55.549221,37.5518019,"б-р адмирала ушакова, 4, москва, россия, 117042",0,0
57,баскетбольная площадка,55.536295,37.527726,"южнобутовская ул., 62, москва, россия, 117042",0,0
58,баскетбольная площадка,55.5410371,37.5224866,"ул. адмирала руднева, 14, москва, россия, 117041",0,0
59,баскетбольная площадка,55.5438184,37.5120244,"академика семёнова ул., 3, москва, россия, 117042",0,0
60,баскетбольная площадка,55.54608400000001,37.554727,"скобелевская ул., 20, москва, россия, 117042",0,0
61,баскетбольная площадка,55.539491,37.529988,"южнобутовская ул., 52к2, москва, россия, 117042",0,0
62,баскетбольная площадка,55.53765,37.5295779,"южнобутовская ул., 56к1, москва, россия, 117042",0,0
63,баскетбольная площадка,55.549663,37.529569,"ул. бартеневская, 27, москва, россия, 117042",Aap_uEAeJOtcvUyzC7hIiPfJcyR0gjjJy5bP3K4JUoXvFF4o900Ie7txmWwrt8GKL34BElXf-mFGtu__mFsOz8UCVDUwNtbPS-ZaYjpHG3vOeFlTtHtvyq7m2fPZZElN7RKu6SAvQjJM7LIBm4OUkV7_RF32j1OO7x5HQZHlzvcIrWHPSlA9,4608
64,баскетбольная площадка,55.54437799999999,37.533618,"ул. горчакова, 9к1, москва, россия, 117042",0,0
65,баскетбольная площадка,55.538165,37.5108119,"ул. кадырова, 8к3, москва, россия, 117042",0,0
66,баскетбольная площадка,55.548949,37.563427,"изюмская ул., 34к3, москва, россия, 117624",Aap_uEADApjz_GunhV1XQFCiiwa_9voEBK0Dpaq49Tsp-6IawLoY_1UBDL547mcPn9aRcIYvo34lMGVKZnLIsMw0LAU32osG3Vcr5io14RgqaaWkzGHJEzHiyP5gzceq4Ri1FaRGX5C6nDaD4ZME_HHrdu0cvWuh0Ii72Xj_VKyKyRGoaRHD,3648
67,баскетбольная площадка,55.531945,37.5233469,"чечерский пр., 80, москва, россия, 107042",0,0
68,баскетбольная площадка,55.52866700000001,37.5173061,"чечерский пр., 112, москва, россия, 117042",0,0
69,баскетбольная площадка,55.54828389999999,37.5380928,"москва, россия, 117042",0,0
70,площадка бутово,55.5513854,37.5413688,"ул. поляны, москва, россия, 117042",0,0
71,детская площадка,55.5575972,37.5573244,"старокрымская ул., 15к1, москва, россия, 117624",Aap_uEAkORZxZoyCtSmx-mEESnTe3GNyE1Eynh18F5OZDFXjnSl6qI0hWCfGloNGcLg-HvMQgqJxgq7cqittQrEuLn4HZrp8H88pUR0btvcCFpwQnORZu1Vm968V87IZEqdIHkVElKJiu6p7zaYXiw9kruUlTuUsZRJ884nZvKMhU-HYj20i,7296
72,спортивно-игровой центр playground,55.80050139999999,37.5946005,"ул. складочная, 1 стр. 1, москва, россия, 127018",Aap_uEAY7Pvif6_G8pVLKsSEpBy8WHAFvTZRacIn7It_dFFReAVj6fap6XKLm56S68l4MyaZxlD01mPKuDFIsYrwswfVJ8sSWq9BsIZJpV-08KCaaglRuY-8Dmh4WeRe4Gh3bxElootoqv34bb8TxY4oY8j0k7OtmbMY0LHw61uLGJYQfG6w,4000
73,баскетбольный центр дмитрия пересыпкина,55.784339,37.53163199999999,"ходынский б-р, 7, москва, россия, 125252",Aap_uEBCExRbW5oYpWfoLGVlJC5JatBFdrJ3D_g-21PUOdekDBjSrwZEXadK5hTLnCsiiQjXpjAcMXXjyV1mVFM5AA96D1CnrvtHsM6-jH8kMak85CwYtSlUrIbu5htVUPbs3pg6YPzUxEgPKEkOMWibg93auPwmgIbAA1jwlh9GngRmaNQA,4639
74,баскетбольная площадка,55.7709081,37.5870516,"васильевская ул., 4, москва, россия, 123056",0,0
75,футбольно-баскетбольная площадка,55.7014733,37.8143319,"ташкентская ул., 21 строение 3, москва, московская обл., россия, 109444",Aap_uEBjFDaCHhuQD40QnNr6v1sSJbBL_tOuZs2M4IJ87M5WPrwsKM_vATkjq0dGihXlgc_jKdOv19RGkgs2fwmygZ8GkE4rV0w2GurhDLFzDkxiwfs1vD6tU70xp_BRuQ3s6JN0FozXHPei6zJu2hiuNppXTu3-Cn2i9VyDZLq4PAgBxHVZ,5504
76,площадка б ф,55.69022039999999,37.72604949999999,"шоссейная ул., 8, москва, россия, 109548",0,0
77,любительская баскетбольная академия,55.66207259999999,37.7771116,"белореченская ул., 47, москва, россия, 109469",Aap_uEDe5kgVedq6YMSKmH7lc8Km5Kbo3pJlguZ_LrGxODsvLzXMrRrkdIgKCNnSdMFKY6ohM5kDHMQz408NUviyds3WV3TKoe2Cb8zYSVzho4p2-j2sU0EOkx_vAuhT6wu2wEeiMZItw5xtO3zEbrdwo6IB3jC8uVjPSvisf-Cezwu4cHD-,2448
78,баскетбол,55.790294,37.81270300000001,"нижняя первомайская ул., 52с10, москва, россия, 105203",Aap_uEDoqsQBzAfM5IR18u34xaCiAM7qw0TSbM5jp1htjsS37UM45N1B0kMdngOM0F5YHBHOpKTWfAyG4FY0FBorow0lPRjF8-zT9ZkZ7ok4PZQS41VBlHc8ryWdBDmlZHyVUrOtNDk-pb8HyDGniqbi4LPCMFzWGZgHMpWpXrPvFJ_z_li4,300
79,баскетбольная коробка,55.8203827,37.6529199,"ул. космонавтов, 14, москва, россия, 129301",Aap_uEDY78YEqz_s5cvktM0lTyygm5XMX03ecE4jfpdrC90FHOghjxNiY_n9nxDfQsr8xZ1Op2yHiueU_uSrVvFoNTTQZqtFhsSQtWDhizasXpx1FYlcTW2NQoGEYj6bewwFsRwnSmUNbLprlZey3_SD_8tMMk4R-9Naw-umWi6PGlQC0vWS,1280
80,баскетбольная площадка,55.6292762,37.7357135,"ул. мусы джалиля, 4 корпус 3, москва, россия, 115573",0,0
81,баскетбольная площадка,55.62944049999999,37.71765000000001,"москва, россия, 115563",Aap_uEAoORiBMYUEaNSmchBEAzD1-ewcYRxNsKAPIwKwDeDqPtWwxgRJmu57XV4B6o_ykc2c19j0TKhWtaBKoBjE6-JHHXFzU3lBZAb6hMs1VUjkQhQcUa_ZG0TUFWvZBQYgzT6dS7EPFY8zWV_41g2Z_BjXxVfDKf6vbcV9erSunw7ccMJd,4032
82,баскетбольная площадка,55.5830099,37.6902572,"москва, россия, 115598",0,0
83,баскетбольная площадка 519,55.6833191,37.7210621,"с, ул. гурьянова, 39 строение 2, москва, россия, 109388",0,0
84,баскетбольная площадка,55.6280234,37.847496,"ул. ленина, 42, дзержинский, московская обл., россия, 140090",Aap_uECl2ylMzEN0ValNIsX7ySbqrskYYgx5q-05GB_cHrr-Nsa8M3OSpQoTwkH0pVSxKvONKQQfcrUPqDKEcMaeU8Fq_2uZU40dI2hurlv0SBTFtRYhaNIjujgJSHvL6c6KWW-gYPULbJD82px6ez4YfmUha5uORfRnP28Ih5zuiS3piG3b,4898
85,баскетбольная площадка,55.7091772,37.81002489999999,"сормовская ул., 12, москва, россия, 109444",Aap_uEDbynuxyGtUyLdynnonGs0xYiI4kSt7HnhWUHKI8DeRzIcx41BIO9c8luilPjepNrZNZoyPH3b-MRfGMXKQHs-nMBvIb8SZUE8GBh9gqfFcTW0UMmL64TDu-L-qqA70EoegGJ6E_9bey-cqLAwV1I6pOgteIZ1F_m-Qh1nNpqgFR3JS,5504
86,баскетбольная площадка,55.6959175,37.9578549,"камова ул., 6/2, москва, россия, 111674",0,0
87,баскетбольная площадка,55.7096855,37.8881128,"ул. дмитриевского, 9 строение 1, москва, россия, 111675",0,0
